,Postcode,Borough,Neighbourhood
0,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
1,M4C,East York,Woodbine Heights
2,M1G,Scarborough,Woburn
3,M6H,West Toronto,Dovercourt Village
4,M5P,Central Toronto,Forest Hill North
5,M5M,North York,Bedford Park
6,M5S,Downtown Toronto,University of Toronto
7,M1B,Scarborough,"Rouge, Malvern"
8,M4J,East York,East Toronto
9,M1T,Scarborough,Tam O'Shanter
10,M6K,West Toronto,"Exhibition Place, Parkdale Village"
11,M4W,Downtown Toronto,Rosedale
12,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
13,M1X,Scarborough,Upper Rouge
14,M6J,West Toronto,"Little Portugal, Trinity"
15,M2H,North York,Hillcrest Village
16,M2K,North York,Bayview Village
17,M9L,North York,Humber Summit
18,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
19,M5R,Central Toronto,"The Annex, Yorkville"
20,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
21,M1E,Scarborough,"Morningside, West Hill"
22,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
23,M5X,Downtown Toronto,"First Canadian Place, Underground city"
24,M1S,Scarborough,Agincourt
25,M4B,East York,"Woodbine Gardens, Parkview Hill"
26,M4H,East York,Thorncliffe Park
27,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
28,M1R,Scarborough,"Maryvale, Wexford"
29,M6S,West Toronto,"Runnymede, Swansea"
30,M6P,West Toronto,High Park
31,M7A,Downtown Toronto,Queen's Park
32,M1V,Scarborough,"Agincourt North, Milliken"
33,M2R,North York,Willowdale West
34,M4T,Central Toronto,Moore Park
35,M5C,Downtown Toronto,St. James Town
36,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
37,M9R,Etobicoke,Kingsview Village
38,M6L,North York,Downsview
39,M5A,Downtown Toronto,Harbourfront
40,M4E,East Toronto,The Beaches
41,M9C,Etobicoke,Markland Wood
42,M3K,North York,CFB Toronto
43,M1K,Scarborough,"Ionview, Kennedy Park"
44,M3C,North York,Flemingdon Park
45,M2L,North York,York Mills
46,M8Y,Etobicoke,"Humber Bay, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
47,M8Z,Etobicoke,"Mimico NW, The Queensway West"
48,M4N,Central Toronto,Lawrence Park
49,M1J,Scarborough,Scarborough Village
50,M8W,Etobicoke,"Alderwood, Long Branch"
51,M9N,York,Weston
52,M5J,Downtown Toronto,"Toronto Islands, Union Station"
53,M8X,Etobicoke,The Kingsway
54,M3A,North York,Parkwoods
55,M6A,North York,"Lawrence Heights, Lawrence Manor"
56,M3J,North York,"Northwood Park, York University"
57,M5L,Downtown Toronto,Commerce Court
58,M3L,North York,Downsview West
59,M1N,Scarborough,Birch Cliff
60,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
61,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
62,M2J,North York,Henry Farm
63,M3H,North York,"Bathurst Manor, Wilson Heights"
64,M5E,Downtown Toronto,Berczy Park
65,M6R,West Toronto,"Parkdale, Roncesvalles"
66,M4Y,Downtown Toronto,Church and Wellesley
67,M1M,Scarborough,"Cliffcrest, Cliffside"
68,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
69,M4G,East York,Leaside
70,M9A,Etobicoke,Islington Avenue
71,M9M,North York,"Emery, Humberlea"
72,M8V,Etobicoke,New Toronto
73,M2M,North York,"Newtonbrook, Willowdale"
74,M4K,East Toronto,Riverdale
75,M4L,East Toronto,India Bazaar
76,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
77,M4A,North York,Victoria Village
